ocamlfind ocamlc -g -package batteries -linkpkg -o perftest -I /Users/samer/src/okmij/caml-shift -dllpath /Users/samer/src/okmij/caml-shift delimcc.cma utils.cmo dist.cmo lazydata.cmo monads.cmo monadreps.cmo store.cmo prob.cmo inference3.cmo notes.cmo inference2.cmo inference1.cmo probimps.cmo perftest.ml
./perftest

----- Make(TM) -----

exact_reify test_main             	---> Time: 0.159828 s
get_samples'' 10000 main_simple   	---> Time: 0.455468 s
get_samples' 10000 main_simple    	---> Time: 0.620656 s
get_samples 10000 main_simple     	---> Time: 0.561741 s
importance_sample 1 1000 main_simple 	---> evidence = 0.000718875 | Time: 0.332047 s
importance_sample 1 5000 main_simple 	---> evidence = 0.000306787 | Time: 1.73314 s
importance_sample 1 10000 main_simple 	---> evidence = 0.000437288 | Time: 3.34819 s
importance_sample 2 1000 main_simple 	---> evidence = 0.000243817 | Time: 0.774514 s
importance_sample 1 2000 main_medium 	---> evidence = 0.000111375 | Time: 0.916575 s
importance_sample' 1 2000 main_medium 	---> evidence = 5.12578e-06 | Time: 0.922412 s
importance_sample'' 1 2000 main_medium 	---> evidence = 0.000165656 | Time: 0.783115 s
importance_sample 1 20000 main_large  	---> evidence = 0 | Time: 17.3269 s

----- ProbTree -----

exact_reify test_main             	---> Time: 0.112698 s
get_samples'' 10000 main_simple   	---> Time: 0.363278 s
get_samples' 10000 main_simple    	---> Time: 0.495045 s
get_samples 10000 main_simple     	---> Time: 0.498531 s
importance_sample 1 1000 main_simple 	---> evidence = 0.00025425 | Time: 0.296297 s
importance_sample 1 5000 main_simple 	---> evidence = 0.000554288 | Time: 1.46351 s
importance_sample 1 10000 main_simple 	---> evidence = 0.000425081 | Time: 2.94457 s
importance_sample 2 1000 main_simple 	---> evidence = 0.000151884 | Time: 0.663184 s
importance_sample 1 2000 main_medium 	---> evidence = 0.000175219 | Time: 0.76723 s
importance_sample' 1 2000 main_medium 	---> evidence = 4.55625e-05 | Time: 0.699492 s
importance_sample'' 1 2000 main_medium 	---> evidence = 0.000161438 | Time: 0.672822 s
importance_sample 1 20000 main_large  	---> evidence = 0 | Time: 15.7611 s

